Date,Product,Region,Year,Festival,Daily_Sales,Opening_Stock,Closing_Stock,Replenishment_Qty,New_Order_Qty,Stock_Out_Flag,Stock_Coverage_Days,Service_Level,Price_Index,Threshold,Lead_Time_Days,Stock_Recommendation,Day_Relative_To_Festival,Regional_Weight,Weather_Factor,Weekend_Factor,Promotion_Factor,Economic_Factor,Adjusted_Sales,Inventory_Turnover,Inventory_Turnover_Rate,Efficiency_Score,Profit_Margin
12-02-2023,Chocolates & Sweets Box,East,2023,Maha Shivaratri/Vasant Panchami,23,35,12,0,55,FALSE,0.52,1,1.15,42.5,14,Low,-6,0.85,1,1.6,1,1,36.8,0.6389,19.17,0.44,0.375
13-02-2023,Chocolates & Sweets Box,East,2023,Maha Shivaratri/Vasant Panchami,12,12,0,0,55,FALSE,0,0,1.15,42.5,14,Low,-5,0.85,1,1,1,1,12,0.9231,27.69,0,0.393
14-02-2023,Chocolates & Sweets Box,East,2023,Maha Shivaratri/Vasant Panchami,0,0,0,0,0,FALSE,0,0,1.15,42.5,14,Low,-4,0.85,1,1,1,1,0,0,0,0,0.348
15-02-2023,Chocolates & Sweets Box,East,2023,Maha Shivaratri/Vasant Panchami,0,0,0,0,0,FALSE,0,0,1.15,42.5,14,Low,-3,0.85,1,1,1,1,0,0,0,0,0.357
16-02-2023,Chocolates & Sweets Box,East,2023,Maha Shivaratri/Vasant Panchami,0,0,0,0,0,FALSE,0,0,1.15,42.5,14,Low,-2,0.85,1,1,1,1,0,0,0,0,0.4
17-02-2023,Chocolates & Sweets Box,East,2023,Maha Shivaratri/Vasant Panchami,0,0,0,0,0,FALSE,0,0,1.15,42.5,14,Low,-1,0.85,1,1.2,1,1,0,0,0,0,0.361
18-02-2023,Chocolates & Sweets Box,East,2023,Maha Shivaratri/Vasant Panchami,0,0,0,0,0,FALSE,0,0,1.15,42.5,14,Low,0,0.85,1,1.4,1,1,0,0,0,0,0.373
19-02-2023,Chocolates & Sweets Box,East,2023,Maha Shivaratri/Vasant Panchami,0,0,0,0,0,FALSE,0,0,1.15,42.5,14,Low,1,0.85,1,1.6,1,1,0,0,0,0,0.29
20-02-2023,Chocolates & Sweets Box,East,2023,Maha Shivaratri/Vasant Panchami,0,0,0,0,0,FALSE,0,0,1.15,42.5,14,Low,2,0.85,1,1,1,1,0,0,0,0,0.354
21-02-2023,Chocolates & Sweets Box,East,2023,Maha Shivaratri/Vasant Panchami,0,0,0,0,0,FALSE,0,0,1.15,42.5,14,Low,3,0.85,1,1,1,1,0,0,0,0,0.385
22-02-2023,Chocolates & Sweets Box,East,2023,Maha Shivaratri/Vasant Panchami,0,0,0,0,0,FALSE,0,0,1.15,42.5,14,Low,4,0.85,1,1,1,1,0,0,0,0,0.4
26-02-2023,Chocolates & Sweets Box,East,2023,Holi,18,0,92,110,0,FALSE,5.08,1,1.21,63,8,Medium,-10,0.9,1,1.6,1.3,1,37.44,18,540,4.57,0.353
27-02-2023,Chocolates & Sweets Box,East,2023,Holi,20,92,72,0,0,FALSE,3.58,1,1.21,63,8,Medium,-9,0.9,1,1,1.3,1,26,0.2151,6.45,3.22,0.413
28-02-2023,Chocolates & Sweets Box,East,2023,Holi,33,72,39,0,0,FALSE,1.18,1,1.21,63,8,Medium,-8,0.9,1,1,1.3,1,42.9,0.4521,13.56,1.06,0.377
01-03-2023,Chocolates & Sweets Box,East,2023,Holi,28,39,11,0,81,FALSE,0.39,1,1.21,63,8,Medium,-7,0.9,1,1,1.3,1,36.4,0.7,21,0.35,0.301
02-03-2023,Chocolates & Sweets Box,East,2023,Holi,11,11,0,0,81,FALSE,0,0,1.21,63,8,Medium,-6,0.9,1,1,1.3,1,14.3,0.9167,27.5,0,0.364
03-03-2023,Chocolates & Sweets Box,East,2023,Holi,0,0,0,0,0,FALSE,0,0,1.21,63,8,Medium,-5,0.9,1,1.2,1.3,1,0,0,0,0,0.405
04-03-2023,Chocolates & Sweets Box,East,2023,Holi,0,0,0,0,0,FALSE,0,0,1.21,63,8,Medium,-4,0.9,1,1.4,1.3,1,0,0,0,0,0.369
05-03-2023,Chocolates & Sweets Box,East,2023,Holi,0,0,0,0,0,FALSE,0,0,1.21,63,8,Medium,-3,0.9,1,1.6,1.3,1,0,0,0,0,0.411
06-03-2023,Chocolates & Sweets Box,East,2023,Holi,0,0,0,0,0,FALSE,0,0,1.21,63,8,Medium,-2,0.9,1,1,1.3,1,0,0,0,0,0.307
07-03-2023,Chocolates & Sweets Box,East,2023,Holi,0,0,0,0,0,FALSE,0,0,1.21,63,8,Medium,-1,0.9,1,1,1.3,1,0,0,0,0,0.432
08-03-2023,Chocolates & Sweets Box,East,2023,Holi,0,0,0,0,0,FALSE,0,0,1.21,63,8,Medium,0,0.9,1,1,1.3,1,0,0,0,0,0.368
09-03-2023,Chocolates & Sweets Box,East,2023,Holi,27,0,54,81,0,FALSE,1.99,1,1.21,63,8,Medium,1,0.9,1,1,1.3,1,35.1,27,810,1.79,0.359
10-03-2023,Chocolates & Sweets Box,East,2023,Holi,17,54,118,81,0,FALSE,6.9,1,1.21,63,8,Medium,2,0.9,1,1.2,1.3,1,26.52,0.3091,9.27,6.21,0.355
11-03-2023,Chocolates & Sweets Box,East,2023,Holi,9,118,109,0,0,FALSE,11.98,1,1.21,63,8,Medium,3,0.9,1,1.4,1.3,1,16.38,0.0756,2.27,10.78,0.302
12-03-2023,Chocolates & Sweets Box,East,2023,Holi,2,109,107,0,0,FALSE,50.95,1,1.21,63,8,Medium,4,0.9,1,1.6,1.3,1,4.16,0.0182,0.55,45.86,0.356
27-03-2023,Chocolates & Sweets Box,East,2023,Ram Navami/Baisakhi/Easter,16,107,91,0,0,FALSE,5.65,1,1.2,58.5,10,Medium,-10,0.9,1,1,1,1,16,0.1481,4.44,5.09,0.312
28-03-2023,Chocolates & Sweets Box,East,2023,Ram Navami/Baisakhi/Easter,21,91,70,0,0,FALSE,3.32,1,1.2,58.5,10,Medium,-9,0.9,1,1,1,1,21,0.2283,6.85,2.99,0.407
29-03-2023,Chocolates & Sweets Box,East,2023,Ram Navami/Baisakhi/Easter,24,70,46,0,0,FALSE,1.91,1,1.2,58.5,10,Medium,-8,0.9,1,1,1,1,24,0.338,10.14,1.72,0.411
30-03-2023,Chocolates & Sweets Box,East,2023,Ram Navami/Baisakhi/Easter,35,46,11,0,76,FALSE,0.31,1,1.2,58.5,10,Medium,-7,0.9,1,1,1,1,35,0.7447,22.34,0.28,0.425
31-03-2023,Chocolates & Sweets Box,East,2023,Ram Navami/Baisakhi/Easter,11,11,0,0,76,FALSE,0,0,1.2,58.5,10,Medium,-6,0.9,1,1.2,1,1,13.2,0.9167,27.5,0,0.329
01-04-2023,Chocolates & Sweets Box,East,2023,Ram Navami/Baisakhi/Easter,0,0,0,0,0,FALSE,0,0,1.2,58.5,10,Medium,-5,0.9,1,1.4,1,1,0,0,0,0,0.391
02-04-2023,Chocolates & Sweets Box,East,2023,Ram Navami/Baisakhi/Easter,0,0,0,0,0,FALSE,0,0,1.2,58.5,10,Medium,-4,0.9,1,1.6,1,1,0,0,0,0,0.306
03-04-2023,Chocolates & Sweets Box,East,2023,Ram Navami/Baisakhi/Easter,0,0,0,0,0,FALSE,0,0,1.2,58.5,10,Medium,-3,0.9,1,1,1,1,0,0,0,0,0.394
04-04-2023,Chocolates & Sweets Box,East,2023,Ram Navami/Baisakhi/Easter,0,0,0,0,0,FALSE,0,0,1.2,58.5,10,Medium,-2,0.9,1,1,1,1,0,0,0,0,0.388
05-04-2023,Chocolates & Sweets Box,East,2023,Ram Navami/Baisakhi/Easter,0,0,0,0,0,FALSE,0,0,1.2,58.5,10,Medium,-1,0.9,1,1,1,1,0,0,0,0,0.361
06-04-2023,Chocolates & Sweets Box,East,2023,Ram Navami/Baisakhi/Easter,0,0,0,0,0,FALSE,0,0,1.2,58.5,10,Medium,0,0.9,1,1,1,1,0,0,0,0,0.336
07-04-2023,Chocolates & Sweets Box,East,2023,Ram Navami/Baisakhi/Easter,0,0,0,0,0,FALSE,0,0,1.2,58.5,10,Medium,1,0.9,1,1.2,1,1,0,0,0,0,0.379
08-04-2023,Chocolates & Sweets Box,East,2023,Ram Navami/Baisakhi/Easter,0,0,0,0,0,FALSE,0,0,1.2,58.5,10,Medium,2,0.9,1,1.4,1,1,0,0,0,0,0.398
09-04-2023,Chocolates & Sweets Box,East,2023,Ram Navami/Baisakhi/Easter,9,0,67,76,0,FALSE,7.36,1,1.2,58.5,10,Medium,3,0.9,1,1.6,1,1,14.4,9,270,6.62,0.419
10-04-2023,Chocolates & Sweets Box,East,2023,Ram Navami/Baisakhi/Easter,2,67,141,76,0,FALSE,67.14,1,1.2,58.5,10,Medium,4,0.9,1,1,1,1,2,0.0294,0.88,60.43,0.403
25-04-2023,Chocolates & Sweets Box,East,2023,Buddha Purnima,13,141,128,0,0,FALSE,9.77,1,1.18,54,12,Medium,-10,0.9,1,1,1,1,13,0.0915,2.74,8.79,0.299
26-04-2023,Chocolates & Sweets Box,East,2023,Buddha Purnima,20,128,108,0,0,FALSE,5.37,1,1.18,54,12,Medium,-9,0.9,1,1,1,1,20,0.155,4.65,4.83,0.398
27-04-2023,Chocolates & Sweets Box,East,2023,Buddha Purnima,15,108,93,0,0,FALSE,6.16,1,1.18,54,12,Medium,-8,0.9,1,1,1,1,15,0.1376,4.13,5.54,0.386
28-04-2023,Chocolates & Sweets Box,East,2023,Buddha Purnima,20,93,73,0,0,FALSE,3.63,1,1.18,54,12,Medium,-7,0.9,1,1.2,1,1,24,0.2128,6.38,3.27,0.321
29-04-2023,Chocolates & Sweets Box,East,2023,Buddha Purnima,30,73,43,0,0,FALSE,1.43,1,1.18,54,12,Medium,-6,0.9,1,1.4,1,1,42,0.4054,12.16,1.29,0.374
30-04-2023,Chocolates & Sweets Box,East,2023,Buddha Purnima,34,43,9,0,70,FALSE,0.26,1,1.18,54,12,Medium,-5,0.9,1,1.6,1,1,54.4,0.7727,23.18,0.23,0.303
01-05-2023,Chocolates & Sweets Box,East,2023,Buddha Purnima,9,9,0,0,70,FALSE,0,0,1.18,54,12,Medium,-4,0.9,1,1,1,1,9,0.9,27,0,0.297
02-05-2023,Chocolates & Sweets Box,East,2023,Buddha Purnima,0,0,0,0,0,FALSE,0,0,1.18,54,12,Medium,-3,0.9,1,1,1,1,0,0,0,0,0.391
03-05-2023,Chocolates & Sweets Box,East,2023,Buddha Purnima,0,0,0,0,0,FALSE,0,0,1.18,54,12,Medium,-2,0.9,1,1,1,1,0,0,0,0,0.398
04-05-2023,Chocolates & Sweets Box,East,2023,Buddha Purnima,0,0,0,0,0,FALSE,0,0,1.18,54,12,Medium,-1,0.9,1,1,1,1,0,0,0,0,0.347
05-05-2023,Chocolates & Sweets Box,East,2023,Buddha Purnima,0,0,0,0,0,FALSE,0,0,1.18,54,12,Medium,0,0.9,1,1.2,1,1,0,0,0,0,0.396
06-05-2023,Chocolates & Sweets Box,East,2023,Buddha Purnima,0,0,0,0,0,FALSE,0,0,1.18,54,12,Medium,1,0.9,1,1.4,1,1,0,0,0,0,0.325
07-05-2023,Chocolates & Sweets Box,East,2023,Buddha Purnima,0,0,0,0,0,FALSE,0,0,1.18,54,12,Medium,2,0.9,1,1.6,1,1,0,0,0,0,0.283
08-05-2023,Chocolates & Sweets Box,East,2023,Buddha Purnima,0,0,0,0,0,FALSE,0,0,1.18,54,12,Medium,3,0.9,1,1,1,1,0,0,0,0,0.375
09-05-2023,Chocolates & Sweets Box,East,2023,Buddha Purnima,0,0,0,0,0,FALSE,0,0,1.18,54,12,Medium,4,0.9,1,1,1,1,0,0,0,0,0.337
10-06-2023,Chocolates & Sweets Box,East,2023,Rath Yatra/Local Festivals,7,0,133,140,0,FALSE,18.73,1,1.15,40,12,Low,-10,0.8,1,1.4,1,1,9.8,7,210,14.98,0.301
11-06-2023,Chocolates & Sweets Box,East,2023,Rath Yatra/Local Festivals,14,133,119,0,0,FALSE,8.44,1,1.15,40,12,Low,-9,0.8,1,1.6,1,1,22.4,0.1045,3.14,6.75,0.343
12-06-2023,Chocolates & Sweets Box,East,2023,Rath Yatra/Local Festivals,17,119,102,0,0,FALSE,5.96,1,1.15,40,12,Low,-8,0.8,1,1,1,1,17,0.1417,4.25,4.77,0.405
13-06-2023,Chocolates & Sweets Box,East,2023,Rath Yatra/Local Festivals,15,102,87,0,0,FALSE,5.76,1,1.15,40,12,Low,-7,0.8,1,1,1,1,15,0.1456,4.37,4.61,0.348
14-06-2023,Chocolates & Sweets Box,East,2023,Rath Yatra/Local Festivals,16,87,71,0,0,FALSE,4.41,1,1.15,40,12,Low,-6,0.8,1,1,1,1,16,0.1818,5.45,3.53,0.41
15-06-2023,Chocolates & Sweets Box,East,2023,Rath Yatra/Local Festivals,22,71,49,0,0,FALSE,2.22,1,1.15,40,12,Low,-5,0.8,1,1,1,1,22,0.3056,9.17,1.78,0.284
16-06-2023,Chocolates & Sweets Box,East,2023,Rath Yatra/Local Festivals,17,49,32,0,0,FALSE,1.87,1,1.15,40,12,Low,-4,0.8,1,1.2,1,1,20.4,0.34,10.2,1.5,0.357
17-06-2023,Chocolates & Sweets Box,East,2023,Rath Yatra/Local Festivals,32,32,0,0,52,FALSE,0,1,1.15,40,12,Low,-3,0.8,1,1.4,1,1,44.8,0.9697,29.09,0,0.349
18-06-2023,Chocolates & Sweets Box,East,2023,Rath Yatra/Local Festivals,0,0,0,0,52,FALSE,0,0,1.15,40,12,Low,-2,0.8,1,1.6,1,1,0,0,0,0,0.398
19-06-2023,Chocolates & Sweets Box,East,2023,Rath Yatra/Local Festivals,0,0,0,0,0,FALSE,0,0,1.15,40,12,Low,-1,0.8,1,1,1,1,0,0,0,0,0.335
20-06-2023,Chocolates & Sweets Box,East,2023,Rath Yatra/Local Festivals,0,0,0,0,0,FALSE,0,0,1.15,40,12,Low,0,0.8,1,1,1,1,0,0,0,0,0.362
21-06-2023,Chocolates & Sweets Box,East,2023,Rath Yatra/Local Festivals,0,0,0,0,0,FALSE,0,0,1.15,40,12,Low,1,0.8,1,1,1,1,0,0,0,0,0.331
22-06-2023,Chocolates & Sweets Box,East,2023,Rath Yatra/Local Festivals,0,0,0,0,0,FALSE,0,0,1.15,40,12,Low,2,0.8,1,1,1,1,0,0,0,0,0.33
23-06-2023,Chocolates & Sweets Box,East,2023,Rath Yatra/Local Festivals,0,0,0,0,0,FALSE,0,0,1.15,40,12,Low,3,0.8,1,1.2,1,1,0,0,0,0,0.33
23-06-2023,Chocolates & Sweets Box,East,2023,Guru Purnima/Harvest Festivals,0,0,0,0,0,FALSE,0,0,1.17,49.5,15,Low,-10,0.9,1,1.2,1,1,0,0,0,0,0.328
24-06-2023,Chocolates & Sweets Box,East,2023,Guru Purnima/Harvest Festivals,0,0,0,0,0,FALSE,0,0,1.17,49.5,15,Low,-9,0.9,1,1.4,1,1,0,0,0,0,0.406
24-06-2023,Chocolates & Sweets Box,East,2023,Rath Yatra/Local Festivals,0,0,0,0,0,FALSE,0,0,1.15,40,12,Low,4,0.8,1,1.4,1,1,0,0,0,0,0.301
25-06-2023,Chocolates & Sweets Box,East,2023,Guru Purnima/Harvest Festivals,0,0,0,0,0,FALSE,0,0,1.17,49.5,15,Low,-8,0.9,1,1.6,1,1,0,0,0,0,0.29
26-06-2023,Chocolates & Sweets Box,East,2023,Guru Purnima/Harvest Festivals,0,0,0,0,0,FALSE,0,0,1.17,49.5,15,Low,-7,0.9,1,1,1,1,0,0,0,0,0.412
27-06-2023,Chocolates & Sweets Box,East,2023,Guru Purnima/Harvest Festivals,0,0,0,0,0,FALSE,0,0,1.17,49.5,15,Low,-6,0.9,1,1,1,1,0,0,0,0,0.38
28-06-2023,Chocolates & Sweets Box,East,2023,Guru Purnima/Harvest Festivals,0,0,0,0,0,FALSE,0,0,1.17,49.5,15,Low,-5,0.9,1,1,1,1,0,0,0,0,0.413
29-06-2023,Chocolates & Sweets Box,East,2023,Guru Purnima/Harvest Festivals,0,0,0,0,0,FALSE,0,0,1.17,49.5,15,Low,-4,0.9,1,1,1,1,0,0,0,0,0.378
30-06-2023,Chocolates & Sweets Box,East,2023,Guru Purnima/Harvest Festivals,0,0,0,0,0,FALSE,0,0,1.17,49.5,15,Low,-3,0.9,1,1.2,1,1,0,0,0,0,0.388
01-07-2023,Chocolates & Sweets Box,East,2023,Guru Purnima/Harvest Festivals,0,0,0,0,0,FALSE,0,0,1.17,49.5,15,Low,-2,0.9,1,1.4,1,1,0,0,0,0,0.317
02-07-2023,Chocolates & Sweets Box,East,2023,Guru Purnima/Harvest Festivals,44,0,8,52,64,FALSE,0.18,1,1.17,49.5,15,Low,-1,0.9,1,1.6,1,1,70.4,44,1320,0.16,0.364
03-07-2023,Chocolates & Sweets Box,East,2023,Guru Purnima/Harvest Festivals,51,8,9,52,64,FALSE,0.18,1,1.17,49.5,15,Low,0,0.9,1,1,1,1,51,5.6667,170,0.16,0.346
04-07-2023,Chocolates & Sweets Box,East,2023,Guru Purnima/Harvest Festivals,9,9,0,0,0,FALSE,0,0,1.17,49.5,15,Low,1,0.9,1,1,1,1,9,0.9,27,0,0.36
05-07-2023,Chocolates & Sweets Box,East,2023,Guru Purnima/Harvest Festivals,0,0,0,0,0,FALSE,0,0,1.17,49.5,15,Low,2,0.9,1,1,1,1,0,0,0,0,0.296
06-07-2023,Chocolates & Sweets Box,East,2023,Guru Purnima/Harvest Festivals,0,0,0,0,0,FALSE,0,0,1.17,49.5,15,Low,3,0.9,1,1,1,1,0,0,0,0,0.39
07-07-2023,Chocolates & Sweets Box,East,2023,Guru Purnima/Harvest Festivals,0,0,0,0,0,FALSE,0,0,1.17,49.5,15,Low,4,0.9,1,1.2,1,1,0,0,0,0,0.382
20-08-2023,Chocolates & Sweets Box,East,2023,Raksha Bandhan/Janmashtami/Independence Day,21,0,107,128,0,FALSE,5.07,1,1.23,63.75,14,Medium,-10,0.85,1,1.6,1,1,33.6,21,630,4.31,0.378
21-08-2023,Chocolates & Sweets Box,East,2023,Raksha Bandhan/Janmashtami/Independence Day,23,107,84,0,0,FALSE,3.64,1,1.23,63.75,14,Medium,-9,0.85,1,1,1,1,23,0.213,6.39,3.09,0.309
22-08-2023,Chocolates & Sweets Box,East,2023,Raksha Bandhan/Janmashtami/Independence Day,24,84,60,0,0,FALSE,2.49,1,1.23,63.75,14,Medium,-8,0.85,1,1,1,1,24,0.2824,8.47,2.12,0.412
23-08-2023,Chocolates & Sweets Box,East,2023,Raksha Bandhan/Janmashtami/Independence Day,29,60,31,0,0,FALSE,1.07,1,1.23,63.75,14,Medium,-7,0.85,1,1,1,1,29,0.4754,14.26,0.91,0.356
24-08-2023,Chocolates & Sweets Box,East,2023,Raksha Bandhan/Janmashtami/Independence Day,31,31,0,0,82,FALSE,0,1,1.23,63.75,14,Medium,-6,0.85,1,1,1,1,31,0.9688,29.06,0,0.385
25-08-2023,Chocolates & Sweets Box,East,2023,Raksha Bandhan/Janmashtami/Independence Day,0,0,0,0,82,FALSE,0,0,1.23,63.75,14,Medium,-5,0.85,1,1.2,1,1,0,0,0,0,0.437
26-08-2023,Chocolates & Sweets Box,East,2023,Raksha Bandhan/Janmashtami/Independence Day,0,0,0,0,0,FALSE,0,0,1.23,63.75,14,Medium,-4,0.85,1,1.4,1,1,0,0,0,0,0.399
27-08-2023,Chocolates & Sweets Box,East,2023,Raksha Bandhan/Janmashtami/Independence Day,0,0,0,0,0,FALSE,0,0,1.23,63.75,14,Medium,-3,0.85,1,1.6,1,1,0,0,0,0,0.414
28-08-2023,Chocolates & Sweets Box,East,2023,Raksha Bandhan/Janmashtami/Independence Day,0,0,0,0,0,FALSE,0,0,1.23,63.75,14,Medium,-2,0.85,1,1,1,1,0,0,0,0,0.395
29-08-2023,Chocolates & Sweets Box,East,2023,Raksha Bandhan/Janmashtami/Independence Day,0,0,0,0,0,FALSE,0,0,1.23,63.75,14,Medium,-1,0.85,1,1,1,1,0,0,0,0,0.332
30-08-2023,Chocolates & Sweets Box,East,2023,Raksha Bandhan/Janmashtami/Independence Day,0,0,0,0,0,FALSE,0,0,1.23,63.75,14,Medium,0,0.85,1,1,1,1,0,0,0,0,0.408
31-08-2023,Chocolates & Sweets Box,East,2023,Raksha Bandhan/Janmashtami/Independence Day,0,0,0,0,0,FALSE,0,0,1.23,63.75,14,Medium,1,0.85,1,1,1,1,0,0,0,0,0.414
01-09-2023,Chocolates & Sweets Box,East,2023,Raksha Bandhan/Janmashtami/Independence Day,0,0,0,0,0,FALSE,0,0,1.23,63.75,14,Medium,2,0.85,1,1.2,1,1,0,0,0,0,0.396
02-09-2023,Chocolates & Sweets Box,East,2023,Raksha Bandhan/Janmashtami/Independence Day,0,0,0,0,0,FALSE,0,0,1.23,63.75,14,Medium,3,0.85,1,1.4,1,1,0,0,0,0,0.329
03-09-2023,Chocolates & Sweets Box,East,2023,Raksha Bandhan/Janmashtami/Independence Day,0,0,0,0,0,FALSE,0,0,1.23,63.75,14,Medium,4,0.85,1,1.6,1,1,0,0,0,0,0.346
09-09-2023,Chocolates & Sweets Box,East,2023,Ganesh Chaturthi/Onam/Navratri start,14,0,150,164,0,FALSE,10.64,1,1.24,64,12,Medium,-10,0.8,1,1.4,1,1,19.6,14,420,8.51,0.44
10-09-2023,Chocolates & Sweets Box,East,2023,Ganesh Chaturthi/Onam/Navratri start,22,150,128,0,0,FALSE,5.79,1,1.24,64,12,Medium,-9,0.8,1,1.6,1,1,35.2,0.1457,4.37,4.63,0.423
11-09-2023,Chocolates & Sweets Box,East,2023,Ganesh Chaturthi/Onam/Navratri start,27,128,101,0,0,FALSE,3.73,1,1.24,64,12,Medium,-8,0.8,1,1,1,1,27,0.2093,6.28,2.98,0.383
12-09-2023,Chocolates & Sweets Box,East,2023,Ganesh Chaturthi/Onam/Navratri start,26,101,75,0,0,FALSE,2.87,1,1.24,64,12,Medium,-7,0.8,1,1,1,1,26,0.2549,7.65,2.3,0.398
13-09-2023,Chocolates & Sweets Box,East,2023,Ganesh Chaturthi/Onam/Navratri start,28,75,47,0,0,FALSE,1.67,1,1.24,64,12,Medium,-6,0.8,1,1,1,1,28,0.3684,11.05,1.34,0.386
14-09-2023,Chocolates & Sweets Box,East,2023,Ganesh Chaturthi/Onam/Navratri start,38,47,9,0,83,FALSE,0.24,1,1.24,64,12,Medium,-5,0.8,1,1,1,1,38,0.7917,23.75,0.19,0.314
15-09-2023,Chocolates & Sweets Box,East,2023,Ganesh Chaturthi/Onam/Navratri start,9,9,0,0,83,FALSE,0,0,1.24,64,12,Medium,-4,0.8,1,1.2,1,1,10.8,0.9,27,0,0.314
16-09-2023,Chocolates & Sweets Box,East,2023,Ganesh Chaturthi/Onam/Navratri start,0,0,0,0,0,FALSE,0,0,1.24,64,12,Medium,-3,0.8,1,1.4,1,1,0,0,0,0,0.362
17-09-2023,Chocolates & Sweets Box,East,2023,Ganesh Chaturthi/Onam/Navratri start,0,0,0,0,0,FALSE,0,0,1.24,64,12,Medium,-2,0.8,1,1.6,1,1,0,0,0,0,0.422
18-09-2023,Chocolates & Sweets Box,East,2023,Ganesh Chaturthi/Onam/Navratri start,0,0,0,0,0,FALSE,0,0,1.24,64,12,Medium,-1,0.8,1,1,1,1,0,0,0,0,0.441
